input_file,ACO_approach,num_ants,iterations,local_heuristic_function,alpha,beta,pheromone_evaporation,local_search,best_distance,elapsed time
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.0,0.6,None,39126.0,31.879
brazil58,Standard ACO,5,2000,1_over_distance,1.5,1.5,0.6,None,36902.0,30.777
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.0,0.6,None,28714.0,28.991
brazil58,Standard ACO,5,2000,1_over_distance,1.5,2.5,0.6,None,30644.0,28.926
brazil58,Standard ACO,5,2000,1_over_distance,1.5,3.0,0.6,None,30523.0,30.831
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.0,0.6,None,40125.0,32.485
brazil58,Standard ACO,5,2000,1_over_distance,2.0,1.5,0.6,None,36494.0,29.389
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.0,0.6,None,32816.0,31.387
brazil58,Standard ACO,5,2000,1_over_distance,2.0,2.5,0.6,None,30791.0,32.467
brazil58,Standard ACO,5,2000,1_over_distance,2.0,3.0,0.6,None,35228.0,31.153
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.0,0.6,None,49739.0,33.931
brazil58,Standard ACO,5,2000,1_over_distance,2.5,1.5,0.6,None,38783.0,35.111
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.0,0.6,None,36476.0,32.625
brazil58,Standard ACO,5,2000,1_over_distance,2.5,2.5,0.6,None,36853.0,31.716
brazil58,Standard ACO,5,2000,1_over_distance,2.5,3.0,0.6,None,31461.0,31.961
